order_id,return_date,return_quantity,reason_returned,product_id
IN-2019-507567,28/03/2019 00:00,1,Wrong Item,TEC-CO-10003777
US-2019-2357004,21/01/2019 00:00,1,Wrong Item,OFF-PA-10001804
ES-2016-1001989,21/03/2016 00:00,1,Not Given,OFF-BI-10002570
ES-2018-2488519,30/11/2018 00:00,1,Not Given,OFF-AP-10002476
IN-2018-1375350,02/11/2018 00:00,1,Not Needed,TEC-AC-10004848
ID-2018-5253471,03/01/2019 00:00,1,Wrong Color,OFF-FA-10004698
MX-2019-5320938,04/12/2019 00:00,2,Not Needed,OFF-SU-10004643
ES-2018-4609471,20/07/2018 00:00,1,Wrong Color,OFF-EN-10003361
NI-2017-1842150,27/08/2017 00:00,1,Wrong Item,OFF-STA-10003908
IN-2018-5666583,30/06/2018 00:00,1,Wrong Item,FUR-TA-10003583
IN-2016-3327968,23/10/2016 00:00,1,Not Given,OFF-FA-10000757
CA-2019-3055914,05/09/2019 00:00,1,Wrong Item,OFF-LA-10001175
SU-2019-1330699,19/01/2020 00:00,1,Wrong Color,OFF-AVE-10003279
MX-2019-1881937,01/11/2019 00:00,1,Wrong Item,TEC-AC-10002357
IN-2017-442515,12/11/2017 00:00,1,Not Given,OFF-LA-10003141
IN-2018-1470582,06/01/2019 00:00,1,Wrong Item,OFF-LA-10003644
IN-2019-545286,13/09/2019 00:00,1,Wrong Color,FUR-TA-10002571
US-2019-3407991,04/04/2019 00:00,1,Wrong Item,FUR-BO-10002580
ES-2018-2682372,24/11/2018 00:00,1,Not Given,OFF-AR-10000266
CA-2019-4754674,06/10/2019 00:00,1,Wrong Item,OFF-AR-10000380
IN-2017-1602704,15/01/2017 00:00,1,Wrong Item,OFF-AP-10004841
ES-2018-2515266,25/06/2018 00:00,1,Wrong Color,TEC-AC-10001486
CA-2019-3301700,05/12/2019 00:00,1,Wrong Color,OFF-BI-10001543
CA-2017-1521000,27/12/2017 00:00,1,Not Given,OFF-AR-10002952
CA-2019-4413166,19/11/2019 00:00,1,Not Given,OFF-AR-10003504
IN-2019-1474884,19/06/2019 00:00,1,Wrong Item,OFF-ST-10000752
TU-2018-5013637,22/12/2018 00:00,1,Wrong Item,FUR-TEN-10000296
IN-2019-483544,17/08/2019 00:00,2,Wrong Item,FUR-BO-10001580
IN-2019-1625757,19/08/2019 00:00,1,Not Given,FUR-FU-10002665
IN-2017-5855739,13/12/2017 00:00,1,Wrong Color,FUR-CH-10004339
US-2018-4879834,02/01/2019 00:00,1,Wrong Item,OFF-PA-10001804
IR-2019-3079713,08/06/2019 00:00,1,Wrong Color,OFF-AVE-10004556
IN-2018-5072041,17/12/2018 00:00,1,Not Needed,OFF-PA-10003511
IN-2018-2768159,25/10/2018 00:00,1,Wrong Color,OFF-FA-10001838
IN-2019-3191796,13/04/2019 00:00,1,Wrong Item,TEC-AC-10004848
IN-2019-1047549,24/08/2019 00:00,1,Wrong Color,FUR-TA-10002571
IN-2019-3892230,12/07/2019 00:00,1,Not Needed,FUR-BO-10001471
