"date","residents"
"04-1971",13067.3
"07-1971",13130.5
"10-1971",13198.4
"01-1972",13254.2
"04-1972",13303.7
"07-1972",13353.9
"10-1972",13409.3
"01-1973",13459.2
"04-1973",13504.5
"07-1973",13552.6
"10-1973",13614.3
"01-1974",13669.5
"04-1974",13722.6
"07-1974",13772.1
"10-1974",13832
"01-1975",13862.6
"04-1975",13893
"07-1975",13926.8
"10-1975",13968.9
"01-1976",14004.7
"04-1976",14033.1
"07-1976",14066
"10-1976",14110.1
"01-1977",14155.6
"04-1977",14192.2
"07-1977",14231.7
"10-1977",14281.5
"01-1978",14330.3
"04-1978",14359.3
"07-1978",14396.6
"10-1978",14430.8
"01-1979",14478.4
"04-1979",14515.7
"07-1979",14554.9
"10-1979",14602.5
"01-1980",14646.4
"04-1980",14695.4
"07-1980",14746.6
"10-1980",14807.4
"01-1981",14874.4
"04-1981",14923.3
"07-1981",14988.7
"10-1981",15054.1
"01-1982",15121.7
"04-1982",15184.2
"07-1982",15239.3
"10-1982",15288.9
"01-1983",15346.2
"04-1983",15393.5
"07-1983",15439
"10-1983",15483.5
"01-1984",15531.5
"04-1984",15579.4
"07-1984",15628.5
"10-1984",15677.3
"01-1985",15736.7
"04-1985",15788.3
"07-1985",15839.7
"10-1985",15900.6
"01-1986",15961.5
"04-1986",16018.3
"07-1986",16076.9
"10-1986",16139
"01-1987",16203
"04-1987",16263.3
"07-1987",16327.9
"10-1987",16398.9
"01-1988",16478.3
"04-1988",16538.2
"07-1988",16621.6
"10-1988",16697
"01-1989",16777.2
"04-1989",16833.1
"07-1989",16891.6
"10-1989",16956.8
"01-1990",17026.3
"04-1990",17085.4
"07-1990",17106.9
"10-1990",17169.4
"01-1991",17239.4
"04-1991",17292
"07-1991",17354.2
"10-1991",17414.2
"01-1992",17447.3
"04-1992",17482.6
"07-1992",17526
"10-1992",17568.7
"01-1993",17627.1
"04-1993",17661.5
