product_title,brand,price,currency,PreReduction_Price,discount
Youth 530,New Balance,52.25,BHD,,
Kids Breakbase,Adidas,18.9,BHD,22.66,-17%
Youth Copa Pure IV Club IN,Adidas,13.78,BHD,22.66,-40%
Kids Copa Pure Iv League Tf,Adidas,17.99,BHD,30.24,-41%
Tensaur Switch Shoes Kids,Adidas,15.6,BHD,20.49,-24%
Kids Handball Spezial,adidas Originals,20.38,BHD,30.24,-33%
Youth 408,New Balance,21.97,BHD,27.00,-19%
Youth Gel-Nyc Gs,asics,49.51,BHD,52.36,-6%
Kids Campus 00S C,adidas Originals,20.95,BHD,35.67,-42%
Youth Deportivo III TF,Adidas,13.78,BHD,18.32,-25%
Youth Runfalcon 5,Adidas,18.78,BHD,24.83,-25%
Kids Samba Og,adidas Originals,32.9,BHD,,
Kids Runfalcon 5 El,Adidas,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,CONVERSE,14.57,BHD,27.00,-47%
Youth Gazelle,adidas Originals,12.63,BHD,43.26,-71%
Nike Jr. Tiempo Legend 10 Academy,Nike,10.02,BHD,35.67,-72%
AIR MAX 270 BG,Nike,28,BHD,67.75,-59%
Youth Tensaur Run 3.0,Adidas,11.95,BHD,22.66,-48%
Kids Chuck Taylor All Star,CONVERSE,11.5,BHD,19.41,-41%
Kids Club Ii Era,PUMA,17.76,BHD,28.08,-37%
Youth Runfalcon 5 El,Adidas,12.98,BHD,21.57,-40%
Kids Smash 3.0 L V Ps,PUMA,11.73,BHD,21.57,-46%
Infant Samba Og Cf El,adidas Originals,22.42,BHD,30.24,-26%
Youth Handball Spezial,adidas Originals,30.62,BHD,46.50,-35%
NIKE STAR RUNNER 5 GS,Nike,35.17,BHD,,
Infant Samba Og Cf El,adidas Originals,21.4,BHD,25.91,-18%
Youth Rickie,PUMA,19.58,BHD,21.57,-10%
Youth Terrain Clogs,crocs,23.79,BHD,,
Youth Gel-Nyc Gs,asics,42.46,BHD,48.78,-13%
Tensaur Comfort Shoes Kids,Adidas,23.79,BHD,,
Infant Vl Court 3.0 Cf,Adidas,23.11,BHD,24.93,-8%
Kids Bounder,SKECHERS,12.07,BHD,16.48,-27%
Kids Runfalcon 5 El,Adidas,16.39,BHD,21.57,-25%
Kids Bounder,SKECHERS,14,BHD,16.48,-16%
Youth Gazelle,adidas Originals,28.69,BHD,43.26,-34%
Kids Duramo Sl2 El C,Adidas,18.9,BHD,22.66,-17%
Kids Go Run 400 V2,SKECHERS,18.44,BHD,,
Kids Tensaur Comfort Ac,Adidas,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,CONVERSE,14.57,BHD,27.00,-47%
Youth Advantage Base 2.0,Adidas,17.07,BHD,22.66,-25%
Kids Barreda Decode Elsa,Adidas,20.26,BHD,27.00,-25%
Kids Duramo Sl2 El,Adidas,17.87,BHD,22.66,-22%
Nike Jr. Tiempo Legend 10 Academy,Nike,10.02,BHD,35.67,-72%
Infant Duramo Sl2 El,Adidas,17.64,BHD,20.49,-14%
Kids Handball Spezial,adidas Originals,35.17,BHD,,
Infant Runfalcon 5 El,Adidas,17.64,BHD,19.41,-10%
Kids Tensaur Comfort Ac,Adidas,15.94,BHD,21.57,-27%
Infant Grand Court Mickey,Adidas,16.74,BHD,22.66,-27%
Kids Duramo Sl2 El,Adidas,17.07,BHD,22.66,-25%
Youth Grand Court 3.0,Adidas,16.39,BHD,22.66,-28%
Kids Club Ii Era V Ps,PUMA,15.25,BHD,25.91,-42%
Infant Adilette Estrap Buz,Adidas,11.16,BHD,13.98,-21%
Youth Runfalcon 5,Adidas,17.76,BHD,24.83,-29%
Infant Samba Crib,adidas Originals,14.68,BHD,20.49,-29%
Kids Campus 00S C,adidas Originals,20.95,BHD,35.67,-42%
Infant Vl Court 3.0 Cf,Adidas,23.68,BHD,24.83,-5%
Infant Vl Court 3.0 Cf,Adidas,17.07,BHD,22.66,-25%
Kids Adifom Samba 360 C,adidas Originals,27.43,BHD,35.67,-24%
AIR MAX 270 BG,Nike,28,BHD,67.75,-59%
Kids Grand Court Spider-Man,Adidas,20.26,BHD,27.00,-25%
Kids Grand Court 00S,Adidas,19.46,BHD,27.00,-28%
