country,year_1960,GNI_1960,life_expectancy_1960,population_1960,year_2020,GNI_2020,life_expectancy_2020,population_2020,GNI_change,life_expectancy_change,population_change,Hollow_Growth
Afghanistan,1960,469.0,45.0,8620000.0,2020,500.0,63.4,39000000.0,31.0,18.4,30380000.0,Balanced Development
Albania,1960,736.0,62.5,1710000.0,2020,5210.0,77.9,2870000.0,4474.0,15.400000000000006,1160000.0,Economic Growth Only
Algeria,1960,3670.0,52.4,11400000.0,2020,3570.0,76.2,43500000.0,-100.0,23.800000000000004,32100000.0,Balanced Development
Angola,1960,1720.0,46.3,5360000.0,2020,2140.0,65.2,33400000.0,420.0,18.900000000000006,28040000.0,Balanced Development
Argentina,1960,4740.0,65.3,20300000.0,2020,9070.0,74.6,45000000.0,4330.0,9.299999999999997,24700000.0,Hollow Growth
Armenia,1960,1290.0,59.2,1900000.0,2020,4220.0,74.0,2810000.0,2930.0,14.799999999999997,910000.0,Balanced Development
Azerbaijan,1960,209.0,48.6,4130000.0,2020,4480.0,70.4,10300000.0,4271.0,21.800000000000004,6170000.0,Economic Growth Only
Bangladesh,1960,365.0,43.8,50400000.0,2020,2030.0,74.7,167000000.0,1665.0,30.900000000000006,116600000.0,Balanced Development
Belarus,1960,7140.0,71.0,8390000.0,2020,6360.0,73.5,9630000.0,-780.0,2.5,1240000.0,Balanced Development
Belize,1960,2040.0,63.9,91400.0,2020,4110.0,72.1,395000.0,2070.0,8.199999999999996,303600.0,Balanced Development
Benin,1960,513.0,44.8,2510000.0,2020,1280.0,64.6,12600000.0,767.0,19.799999999999997,10090000.0,Balanced Development
Bhutan,1960,411.0,42.2,221000.0,2020,2840.0,73.3,773000.0,2429.0,31.099999999999994,552000.0,Balanced Development
Bolivia,1960,856.0,43.0,3710000.0,2020,3180.0,69.8,11900000.0,2324.0,26.799999999999997,8190000.0,Balanced Development
Bosnia and Herzegovina,1960,994.0,61.3,3260000.0,2020,6080.0,75.4,3320000.0,5086.0,14.100000000000009,60000.0,Economic Growth Only
Botswana,1960,432.0,54.4,513000.0,2020,6640.0,61.6,2550000.0,6208.0,7.200000000000003,2037000.0,Potential Hollow Growth
Brazil,1960,1490.0,52.4,73100000.0,2020,7850.0,73.6,213000000.0,6360.0,21.199999999999996,139900000.0,Economic Growth Only
Bulgaria,1960,2210.0,69.4,7890000.0,2020,9630.0,71.8,6980000.0,7420.0,2.3999999999999915,-910000.0,Potential Hollow Growth
Burkina Faso,1960,421.0,39.5,4780000.0,2020,770.0,61.8,21500000.0,349.0,22.299999999999997,16720000.0,Balanced Development
Burundi,1960,320.0,43.9,2750000.0,2020,230.0,64.0,12200000.0,-90.0,20.1,9450000.0,Balanced Development
Cambodia,1960,296.0,49.4,5540000.0,2020,1500.0,70.0,16399999.999999998,1204.0,20.6,10859999.999999998,Balanced Development
